ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035f06a	007fd652	2.0	Tz__s_isMenuRunning	_ZN2Tz15s_isMenuRunningE	Tz::s_isMenuRunning	bool
0035f06e	007fd632	3.0	Tz__Pause__m_NextMenu	_ZN2Tz5Pause10m_NextMenuE	Tz::Pause::m_NextMenu	short
0035f070	00b5b2f0	2.0	Tz__Pause__m_ExitMenuThread	_ZN2Tz5Pause16m_ExitMenuThreadE	Tz::Pause::m_ExitMenuThread	BOOL_1
0035f078	007fd638	3.0	Tz__Pause__m_Lay	_ZN2Tz5Pause5m_LayE	Tz::Pause::m_Lay	Tz::Layout *
0035f07c	007fd63c	2.0	Tz__Pause__m_Bg	_ZN2Tz5Pause4m_BgE	Tz::Pause::m_Bg	dk::Sprite *
0035f088	007fd648	5.0	Tz__Pause__m_Fade	_ZN2Tz5Pause6m_FadeE	Tz::Pause::m_Fade	dk::Sprite *
0035f08c	007fd64c	2.0	Tz__Pause__m_Func	_ZN2Tz5Pause6m_FuncE	Tz::Pause::m_Func	void (*)()
0035f092	007fd562	2.0	Tz__CmComm__m_TimeDelimiter	_ZN2Tz6CmComm15m_TimeDelimiterE	Tz::CmComm::m_TimeDelimiter	short
0035f0b0	007fd654	7.0	Tz__CmSave__m_McCheck	_ZN2Tz6CmSave9m_McCheckE	Tz::CmSave::m_McCheck	BOOL_1
0035f0b1	00b5b410	1.0	Tz__CmSave__m_FadeWait	_ZN2Tz6CmSave10m_FadeWaitE	Tz::CmSave::m_FadeWait	BOOL_1
0035f0dc	007fd5c4	4.0	Tz__CMenuHelp__m_HelpMess	_ZN2Tz9CMenuHelp10m_HelpMessE	Tz::CMenuHelp::m_HelpMess	Tz::LaySeqMess *
0035f0e0	007fdc94	1.0	Tz__IShopInfo__m_Data	_ZN2Tz9IShopInfo6m_DataE	Tz::IShopInfo::m_Data	char *
0035f0e4	007fdf28	13.0	Tz__CmStat__m_Info	_ZN2Tz6CmStat6m_InfoE	Tz::CmStat::m_Info	Tz::CmStat::Info *
0035f0e8	00b5f2e8	5.0	Tz__CmStat__m_isChgSelector	_ZN2Tz6CmStat15m_isChgSelectorE	Tz::CmStat::m_isChgSelector	BOOL_1
0035f0ec	007fdf1c	8.0	Tz__CmEquip__m_StockInfo	_ZN2Tz7CmEquip11m_StockInfoE	Tz::CmEquip::m_StockInfo	Tz::ItemInfo *
0035f0f0	007fd62c	5.0	Tz__s_DispDelay_2	_ZN2Tz11s_DispDelayE	Tz::s_DispDelay	bool
0035f0f4	007fd620	7.0	Tz__CmParty__m_List	_ZN2Tz7CmParty6m_ListE	Tz::CmParty::m_List	Tz::CmParty::List *
0035f0f8	007fd624	2.0	Tz__CmParty__m_OldMember	_ZN2Tz7CmParty11m_OldMemberE	Tz::CmParty::m_OldMember	const YS::MEMBER *
