ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
002633a8	288	branchy	near	lift	80.48	003ac654	_ZN2Tz6CmItem18UpdateTopSelActiveEib	Tz::CmItem::UpdateTopSelActive(int, bool)		med
00270648	288	switch	near	e3	9.17	00398940	_ZN2Tz8CmCustom23SetIndiCustomDefaultPosEv	Tz::CmCustom::SetIndiCustomDefaultPos()		high
0027fba0	288	loop	near	lift	60.99	0031bda4	_ZN2Tz9GumiPause4DrawEv	Tz::GumiPause::Draw()		sim-low
002d00e0	288	loop	near	m2c	51.73	0064e354	_ZN2Ti5MGObj15check_all_leaveEv	Ti::MGObj::check_all_leave()		high
002ed8e0	288	float	near	lift	69.17	0062bda0	_ZN2Ts12SUMMON_ENEMY3GetEPN2YS3OBJE	Ts::SUMMON_ENEMY::Get(YS::OBJ*)		high
002ef028	288	float	near	lift	41.20	0060cccc	_ZN4menu6Motion6updateEf	menu::Motion::update(float)		sim-low
00188550	284	float	near	ghidra	25.54	00400880	_ZN2YS3ACT8ExecTaskEP4TASK	YS::ACT::ExecTask(TASK*)		med
00197028	284	float	near	m2c	80.81	004286f8	_ZN2YS5EVENT4execEv	YS::EVENT::exec()		med
001aefa0	284	float	near	m2c	65.70	004329f0	_ZN2YS8GAMEOVER12check_mickeyEv	YS::GAMEOVER::check_mickey()		med
001bc568	284	branchy	near	lift	70.00	0041d748	_ZN2YS12COMMAND_SLOT8CanDriveEPKNS_12COMMAND_ELEMEPNS_6PLAYERE	YS::COMMAND_SLOT::CanDrive(YS::COMMAND_ELEM const*, YS::PLAYER*)		med
001e17b8	284	loop	near	m2c	94.71	006189f4	_ZN3ryj17LAST_XEMNUS_LASER4initEv	ryj::LAST_XEMNUS_LASER::init()		sim-high
001f5f10	284	float	near	lift	84.92	005a9a70	pppKeBornRnd3_Born	pppKeBornRnd3_Born		sim-sandwich
